HEAD_AREA,name
330.0,01010101366
345.0,02020720304
328.0,02020617320
408.0,02020821322
248.0,02010409352
408.0,02021139323
347.0,02020925305
424.0,02021137303
449.0,02021136330
335.0,01010621373
374.0,01010205326
306.0,010101033115
366.0,010101013189
377.0,01010308361
371.0,02020924318
249.0,01010518319
380.0,02021240323
355.0,01010102354
367.0,01010309396
371.0,01010518327
276.0,02021560313
293.0,02021030315
353.0,01010101324
361.0,02021135305
326.0,02020719301
318.0,02020617347
329.0,010101013105
269.0,01010311331
284.0,02021242311
370.0,01010621351
353.0,01010101314
336.0,02010510315
310.0,010106213112
346.0,01010412345
379.0,02021137316
425.0,02010307304
357.0,01010309392
244.0,01010102388
284.0,01010413335
409.0,02010511305
321.0,02021557306
290.0,02021560301
403.0,01010207304
365.0,01010204363
563.0,02021032312
416.0,02020618329
304.0,010106193133
315.0,01010414354
407.0,01010518322
410.0,01010310351
344.0,02021240315
390.0,01010620314
321.0,01010308385
235.0,02010511320
283.0,02010408335
336.0,02020617302
286.0,01010308315
292.0,02021243305
304.0,01010310359
389.0,02021029312
288.0,02021557312
352.0,01010206326
329.0,02020616318
431.0,01010518310
345.0,01010414355
372.0,02010510301
222.0,02010203304
525.0,02021139332
390.0,02010306319
438.0,01010309389
305.0,02020616306
274.0,01010102323
451.0,02021135337
422.0,01010620350
297.0,01010414309
419.0,01010206366
299.0,01010103361
449.0,01010621313
417.0,02010305312
348.0,01010207329
388.0,02021139329
410.0,01010101395
244.0,02020617324
378.0,02021027306
446.0,02010306318
440.0,02021136308
294.0,02020925303
321.0,01010308339
337.0,02021139320
226.0,010101023149
273.0,02010101312
253.0,01010310360
349.0,01010207337
359.0,02021028311
270.0,02021555305
258.0,02021243307
494.0,01010620316
453.0,01010309308
320.0,02021034315
287.0,02020925310
376.0,01010309376
271.0,02020926303
330.0,01010515318
340.0,02020822345
256.0,02010101311
485.0,01010309325
371.0,01010619320
343.0,02021557314
278.0,02021560318
242.0,01010103381
311.0,01010517314
328.0,01010103368
233.0,02010409310
382.0,02021028308
358.0,01010101336
420.0,02020924311
404.0,01010620338
287.0,01010102381
237.0,010101023128
580.0,02021135307
305.0,02010408312
296.0,01010619352
316.0,02010408336
295.0,01010411302
392.0,02020618303
277.0,02020617358
361.0,01010412308
363.0,02020924315
273.0,02021555307
330.0,01010309379
290.0,01010413313
199.0,02021241317
415.0,02021033320
340.0,02010203303
345.0,010106213117
365.0,02010408313
323.0,02010305319
376.0,010106193139
405.0,01010207351
353.0,02020614311
496.0,02021558304
384.0,02010305307
275.0,02010512334
355.0,02010409336
452.0,02021034331
461.0,02021136309
321.0,01010204323
359.0,02020822350
481.0,02020821305
379.0,02021557308
480.0,02021029318-
412.0,01010620323
322.0,01010517342
228.0,02021555313
420.0,01010206347
225.0,02010305301
332.0,02020617328
401.0,02021027335
298.0,02020614305
316.0,02021033325
250.0,02021241306
365.0,01010308335
305.0,01010207320
406.0,02021137302
279.0,01010204327
390.0,02020925304
308.0,01010206314
382.0,02020615313
325.0,02020616314
182.0,02010202301
243.0,02010101302
363.0,01010412374
344.0,02010510323
222.0,02010409324
321.0,01010103302
354.0,02021557319
256.0,02020720303
284.0,010101023104
420.0,02010202307
411.0,02020822321
269.0,01010412322
334.0,010106193131
387.0,01010206320
324.0,02020614303
338.0,01010204331
290.0,010101023103
341.0,01010620309
476.0,02020615308
251.0,010106193171
251.0,01010310353
364.0,01010621308
256.0,02020614324
237.0,02010512338
380.0,02021034314
232.0,010101023124
451.0,02021027327
350.0,010101023109
428.0,02010408314
210.0,02010202305
175.0,02010512311
267.0,01010414316
368.0,02020618320
381.0,02020822336
388.0,01010101338
402.0,02021027312
377.0,01010620334
471.0,02021027316
334.0,01010412349
354.0,01010412304
372.0,02021027322
254.0,01010102389
221.0,01010103358
252.0,02021241312
410.0,02021027314
365.0,02010409338
325.0,01010412327
466.0,02021241313
362.0,01010206302
279.0,02010409317
395.0,02021240307
301.0,02010513319
399.0,02021240313
337.0,02021557320
313.0,010106213106
343.0,02010409341
351.0,01010204320
339.0,02021138314
490.0,02021135326
299.0,01010619356
348.0,01010308341
340.0,01010414339
260.0,010106193166
414.0,02021558307
192.0,02020617348
464.0,02021027329
307.0,01010206352
295.0,01010310368
400.0,02021139307
253.0,02020924304
231.0,02020617317
467.0,02020615312
240.0,02021241308
416.0,02020822303
400.0,01010620326
342.0,01010207327
364.0,01010206335
412.0,02010409342
381.0,02020616317
232.0,01010411306
230.0,02021556304
260.0,010101023200
410.0,01010413333
267.0,02010512322
290.0,01010103371
379.0,02010408328
508.0,02021029313
367.0,02020617322
290.0,01010103343
310.0,01010308326
475.0,02021135313
319.0,02021556342
305.0,01010311322
437.0,02021033308
222.0,02021242313
488.0,02021033311
394.0,01010206304
326.0,01010101363
401.0,02020615304
273.0,02020822313
309.0,02021137321
407.0,01010309375
346.0,02021557326
294.0,02021138305
381.0,02021136314
460.0,02020821303
357.0,02021032325
365.0,02021028305
357.0,010106193143
357.0,02021032307
429.0,02020618310
232.0,010101023163
379.0,02021027330
325.0,01010517319
344.0,02010101317
344.0,010106193124
356.0,01010309317
341.0,01010412364
440.0,01010620351
275.0,02010408301
475.0,02021136325
352.0,02021240316
433.0,01010414340
214.0,02010512306
381.0,02020822344
291.0,02021243310
298.0,01010205313
235.0,02021557330
341.0,02021032318
394.0,02020821317
209.0,02010513345
296.0,01010311328
305.0,01010517323
253.0,02021556328
332.0,01010308308
413.0,02020821307
345.0,01010207389
282.0,01010310340
315.0,02021135339
308.0,01010621369
315.0,02021137301
400.0,02021032319
335.0,02010409316
338.0,01010621343
386.0,01010620381
283.0,02010306313
335.0,02020925313
472.0,02021240328
340.0,01010414347
471.0,01010414332
367.0,02020822322
421.0,01010310350
305.0,02021240304
344.0,010101023145
320.0,02021242302
397.0,01010101364
324.0,01010308337
321.0,02020923304
453.0,02021027310
400.0,01010620343
312.0,02020616311
316.0,01010101346
404.0,02021135318
321.0,02020614321
261.0,02021556327
278.0,01010310362
303.0,01010619319
299.0,01010308368
288.0,02021033330
378.0,02021030321
293.0,01010413334
248.0,02010203306
569.0,01010309333
279.0,02021555315
468.0,02021032337
