LOWER_ARM_L,LOWER_ARM_R,LOWER_LEG_L,LOWER_LEG_R,UPPER_ARM_L,UPPER_ARM_R,UPPER_LEG_L,UPPER_LEG_R,name
65.0,59.0,95.0,110.0,55.0,55.0,212.0,189.0,02021138327
38.0,60.0,110.0,101.0,45.0,86.0,151.0,182.0,01010515310
79.0,53.0,97.0,103.0,73.0,73.0,217.0,184.0,01010619345
81.0,76.0,111.0,120.0,73.0,79.0,130.0,147.0,01010308328
86.0,76.0,93.0,115.0,75.0,93.0,177.0,172.0,02021138324
66.0,76.0,105.0,94.0,71.0,68.0,135.0,167.0,01010309313
60.0,48.0,113.0,105.0,58.0,65.0,174.0,150.0,02021242308
54.0,60.0,113.0,83.0,59.0,49.0,173.0,174.0,02010409333
55.0,47.0,66.0,76.0,60.0,55.0,148.0,146.0,02021137328
81.0,45.0,116.0,102.0,88.0,49.0,183.0,171.0,01010620364
63.0,90.0,204.0,133.0,120.0,52.0,214.0,183.0,02020615319
54.0,52.0,79.0,80.0,37.0,60.0,174.0,182.0,02021137307
62.0,63.0,93.0,111.0,58.0,76.0,201.0,200.0,02021557325
47.0,188.0,52.0,137.0,0.0,147.0,147.0,197.0,01010412375
70.0,77.0,103.0,119.0,72.0,76.0,172.0,212.0,02021135345
57.0,68.0,97.0,108.0,54.0,78.0,133.0,175.0,02021135332
53.0,58.0,92.0,80.0,71.0,44.0,122.0,142.0,01010515322
68.0,81.0,111.0,93.0,68.0,81.0,143.0,180.0,02010409313
78.0,89.0,161.0,154.0,82.0,86.0,152.0,187.0,01010207313
8.0,137.0,156.0,3.0,55.0,110.0,223.0,244.0,02021139345
40.0,40.0,86.0,78.0,38.0,42.0,111.0,149.0,01010619304
68.0,101.0,140.0,130.0,72.0,83.0,158.0,206.0,02021028303
57.0,60.0,96.0,106.0,60.0,70.0,168.0,151.0,01010205345
35.0,60.0,111.0,94.0,37.0,58.0,104.0,148.0,02020822320
74.0,66.0,20.0,51.0,63.0,59.0,150.0,149.0,01010308382
71.0,86.0,121.0,97.0,66.0,80.0,144.0,154.0,02021027331
58.0,66.0,85.0,98.0,71.0,74.0,240.0,156.0,01010619314
55.0,58.0,83.0,82.0,56.0,70.0,137.0,144.0,02010409330
43.0,78.0,152.0,140.0,38.0,92.0,133.0,166.0,01010518334
49.0,27.0,95.0,99.0,58.0,63.0,125.0,154.0,01010103321
61.0,58.0,83.0,102.0,58.0,64.0,126.0,212.0,010101013135
57.0,80.0,132.0,121.0,70.0,65.0,144.0,187.0,02021034321
33.0,61.0,75.0,90.0,35.0,68.0,138.0,153.0,02020822326
59.0,47.0,84.0,119.0,47.0,43.0,95.0,210.0,02010408323
32.0,27.0,69.0,59.0,42.0,27.0,122.0,100.0,01010621359
73.0,69.0,99.0,92.0,64.0,88.0,182.0,149.0,01010619354
59.0,71.0,128.0,151.0,28.0,67.0,150.0,238.0,02020615325
76.0,97.0,108.0,108.0,78.0,98.0,203.0,212.0,02021032328
76.0,76.0,126.0,138.0,56.0,67.0,215.0,209.0,02010513318
66.0,75.0,81.0,89.0,65.0,63.0,186.0,203.0,01010414325
94.0,126.0,148.0,130.0,95.0,76.0,166.0,161.0,02021136319
55.0,56.0,81.0,84.0,60.0,58.0,169.0,139.0,01010412335
62.0,75.0,103.0,94.0,52.0,80.0,168.0,224.0,02021139313
89.0,105.0,107.0,123.0,87.0,97.0,230.0,234.0,02021135319
29.0,107.0,134.0,132.0,62.0,66.0,164.0,186.0,02021242301
86.0,111.0,122.0,141.0,62.0,59.0,182.0,203.0,02020618336
52.0,55.0,102.0,79.0,55.0,51.0,133.0,149.0,01010411309
33.0,41.0,77.0,78.0,42.0,48.0,112.0,120.0,01010621309
79.0,89.0,151.0,141.0,74.0,74.0,163.0,176.0,02020925315
55.0,82.0,161.0,139.0,84.0,80.0,184.0,222.0,02021033304
73.0,52.0,96.0,100.0,60.0,69.0,139.0,155.0,01010206341
92.0,97.0,111.0,131.0,82.0,89.0,197.0,185.0,02020821314
80.0,76.0,85.0,98.0,77.0,80.0,176.0,155.0,01010308321
60.0,65.0,180.0,178.0,47.0,63.0,197.0,235.0,02020923312
51.0,59.0,127.0,143.0,54.0,57.0,160.0,184.0,02021556345
41.0,34.0,54.0,68.0,42.0,46.0,82.0,97.0,02010512319
65.0,82.0,157.0,131.0,50.0,66.0,187.0,189.0,02021027321
74.0,57.0,122.0,136.0,49.0,90.0,155.0,265.0,01010207366
59.0,84.0,97.0,92.0,75.0,94.0,181.0,210.0,02021135327
44.0,72.0,113.0,165.0,64.0,61.0,177.0,242.0,01010517339
81.0,32.0,97.0,147.0,66.0,94.0,436.0,378.0,02021139333
77.0,78.0,173.0,132.0,83.0,84.0,173.0,217.0,02021032301
81.0,61.0,158.0,128.0,53.0,63.0,183.0,155.0,02021027301
74.0,75.0,152.0,154.0,75.0,70.0,238.0,188.0,01010311319
65.0,57.0,108.0,114.0,67.0,60.0,144.0,159.0,01010205315
57.0,57.0,92.0,95.0,54.0,58.0,156.0,155.0,02021137325
41.0,61.0,90.0,91.0,35.0,40.0,140.0,173.0,02021136333
54.0,66.0,133.0,125.0,47.0,77.0,166.0,257.0,02020822327
59.0,50.0,113.0,131.0,57.0,72.0,120.0,132.0,01010413320
60.0,70.0,82.0,92.0,60.0,74.0,144.0,194.0,01010620307
70.0,66.0,85.0,89.0,66.0,69.0,165.0,236.0,02021557311
43.0,43.0,67.0,96.0,46.0,58.0,112.0,114.0,010101023175
82.0,96.0,151.0,139.0,86.0,62.0,199.0,220.0,02021027332
85.0,112.0,126.0,112.0,78.0,84.0,228.0,229.0,01010518315
46.0,55.0,94.0,104.0,51.0,73.0,149.0,186.0,02010101313
70.0,64.0,79.0,83.0,61.0,63.0,134.0,141.0,01010103305
38.0,44.0,62.0,74.0,42.0,56.0,126.0,142.0,02021243311
95.0,109.0,110.0,178.0,82.0,84.0,163.0,214.0,02020614313
37.0,67.0,104.0,124.0,55.0,67.0,122.0,169.0,02021033336
46.0,50.0,112.0,129.0,46.0,47.0,145.0,121.0,010101033146
75.0,91.0,106.0,115.0,62.0,95.0,126.0,143.0,01010517308
46.0,45.0,85.0,73.0,44.0,46.0,106.0,103.0,02010203301
41.0,68.0,104.0,84.0,58.0,49.0,131.0,114.0,02021028322
73.0,52.0,107.0,96.0,68.0,67.0,180.0,173.0,01010101333
33.0,45.0,198.0,124.0,58.0,55.0,194.0,198.0,02020720305
60.0,45.0,73.0,72.0,55.0,52.0,165.0,157.0,02010306317
97.0,47.0,125.0,132.0,78.0,76.0,191.0,207.0,02021139319
74.0,144.0,212.0,134.0,72.0,84.0,257.0,191.0,02020618308
48.0,37.0,68.0,69.0,40.0,52.0,100.0,150.0,02010408307
63.0,72.0,138.0,169.0,74.0,71.0,144.0,167.0,02021242304
61.0,55.0,81.0,66.0,54.0,40.0,99.0,121.0,02010101306
57.0,40.0,68.0,90.0,57.0,47.0,119.0,132.0,02020821328
68.0,46.0,90.0,96.0,60.0,54.0,162.0,145.0,01010204316
54.0,50.0,73.0,82.0,46.0,43.0,128.0,142.0,02010304312
72.0,72.0,233.0,171.0,139.0,68.0,223.0,182.0,02020615317
65.0,71.0,63.0,81.0,71.0,91.0,148.0,156.0,02021241318
63.0,62.0,104.0,105.0,76.0,71.0,163.0,145.0,01010620325
42.0,61.0,113.0,151.0,72.0,69.0,134.0,159.0,02021027336
71.0,75.0,95.0,93.0,69.0,78.0,187.0,204.0,01010412356
58.0,55.0,97.0,102.0,64.0,60.0,132.0,127.0,01010619346
67.0,62.0,123.0,123.0,57.0,81.0,183.0,182.0,01010103359
45.0,43.0,92.0,76.0,42.0,38.0,124.0,161.0,02021241316
93.0,48.0,104.0,105.0,87.0,91.0,168.0,175.0,01010413306
72.0,75.0,76.0,93.0,55.0,61.0,159.0,142.0,01010206338
89.0,92.0,142.0,120.0,88.0,82.0,187.0,247.0,02021027328
85.0,65.0,107.0,101.0,77.0,80.0,162.0,185.0,02021135336
53.0,51.0,62.0,59.0,42.0,53.0,123.0,131.0,02021030310
51.0,55.0,89.0,89.0,55.0,61.0,176.0,184.0,02020923306
84.0,91.0,147.0,209.0,104.0,90.0,159.0,226.0,01010207315
64.0,66.0,74.0,87.0,55.0,74.0,138.0,182.0,01010311334
24.0,193.0,232.0,261.0,53.0,175.0,365.0,585.0,02010202331
60.0,63.0,89.0,86.0,40.0,57.0,159.0,162.0,01010103328
73.0,55.0,186.0,127.0,81.0,65.0,194.0,191.0,02021027313
55.0,60.0,73.0,75.0,57.0,65.0,113.0,148.0,02021241303
69.0,71.0,83.0,107.0,75.0,74.0,145.0,149.0,02010306321
53.0,53.0,81.0,90.0,55.0,33.0,173.0,183.0,02020821323
92.0,76.0,156.0,113.0,68.0,68.0,111.0,275.0,02021028302
82.0,71.0,140.0,123.0,91.0,73.0,158.0,189.0,02021027303
40.0,51.0,125.0,124.0,62.0,49.0,126.0,172.0,01010517344
72.0,25.0,97.0,113.0,62.0,35.0,209.0,210.0,02021030305
60.0,59.0,139.0,160.0,63.0,61.0,185.0,189.0,01010101366
87.0,133.0,98.0,148.0,87.0,84.0,160.0,190.0,02020720304
84.0,103.0,123.0,208.0,73.0,96.0,179.0,264.0,02020617320
45.0,83.0,65.0,91.0,5.0,80.0,136.0,218.0,02020821322
57.0,49.0,65.0,68.0,57.0,54.0,117.0,160.0,02010409352
72.0,76.0,98.0,106.0,71.0,97.0,147.0,218.0,02021139323
78.0,75.0,100.0,90.0,70.0,71.0,135.0,145.0,02020925305
71.0,60.0,168.0,130.0,68.0,67.0,184.0,181.0,02021137303
85.0,98.0,160.0,150.0,83.0,75.0,156.0,230.0,02021136330
59.0,57.0,117.0,101.0,69.0,65.0,195.0,166.0,01010621373
70.0,56.0,114.0,121.0,66.0,53.0,202.0,201.0,01010205326
45.0,64.0,97.0,110.0,37.0,57.0,144.0,164.0,010101033115
56.0,51.0,99.0,105.0,46.0,61.0,137.0,147.0,010101013189
84.0,125.0,100.0,142.0,83.0,85.0,164.0,204.0,01010308361
65.0,70.0,90.0,109.0,63.0,55.0,154.0,168.0,02020924318
109.0,43.0,123.0,124.0,23.0,48.0,177.0,164.0,01010518319
64.0,56.0,80.0,98.0,61.0,67.0,163.0,173.0,02021240323
68.0,63.0,80.0,82.0,55.0,73.0,159.0,176.0,01010102354
47.0,45.0,70.0,69.0,52.0,52.0,116.0,138.0,01010309396
82.0,92.0,91.0,96.0,77.0,73.0,140.0,198.0,01010518327
53.0,48.0,77.0,104.0,58.0,38.0,122.0,133.0,02021560313
66.0,38.0,101.0,97.0,61.0,62.0,171.0,200.0,02021030315
54.0,58.0,122.0,107.0,63.0,67.0,180.0,189.0,01010101324
83.0,68.0,94.0,121.0,85.0,73.0,209.0,224.0,02021135305
76.0,111.0,182.0,77.0,54.0,71.0,175.0,182.0,02020719301
85.0,59.0,79.0,104.0,67.0,56.0,143.0,162.0,02020617347
71.0,54.0,127.0,106.0,59.0,65.0,182.0,218.0,010101013105
59.0,66.0,95.0,99.0,54.0,63.0,140.0,160.0,01010311331
40.0,70.0,176.0,92.0,93.0,59.0,157.0,193.0,02021242311
76.0,68.0,109.0,144.0,64.0,73.0,120.0,147.0,01010621351
69.0,58.0,97.0,113.0,65.0,75.0,175.0,195.0,01010101314
58.0,60.0,116.0,117.0,72.0,69.0,167.0,169.0,02010510315
35.0,60.0,96.0,93.0,33.0,58.0,139.0,162.0,010106213112
59.0,67.0,134.0,133.0,71.0,93.0,184.0,241.0,01010412345
63.0,65.0,95.0,83.0,60.0,76.0,163.0,175.0,02021137316
84.0,82.0,100.0,97.0,72.0,89.0,196.0,239.0,02010307304
85.0,71.0,94.0,102.0,66.0,70.0,168.0,143.0,01010309392
43.0,41.0,91.0,55.0,49.0,47.0,78.0,124.0,01010102388
49.0,52.0,98.0,77.0,55.0,62.0,177.0,170.0,01010413335
77.0,164.0,35.0,123.0,94.0,93.0,151.0,290.0,02010511305
51.0,58.0,95.0,102.0,46.0,49.0,133.0,178.0,02021557306
49.0,53.0,82.0,98.0,50.0,52.0,173.0,189.0,02021560301
83.0,77.0,151.0,155.0,84.0,84.0,152.0,209.0,01010207304
79.0,82.0,120.0,101.0,85.0,91.0,168.0,153.0,01010204363
